logradouro
Rua Sanito Rocha
Rua Eduardo Aguirre Calabresi
Rua dos Palotinos
Rua Doutor Leônidas do Amaral Ferreira
Rua Humberto Morona
Rua Tocantins
Rua Fernando Amaro - de 1441/1442 ao fim
Rua Reinaldino Schaffenberg de Quadros - de 1081/1082 ao fim
Rua Brigadeiro Rocha Loures
Jardinete Doutor Roque Vernalha
Rua Oyapock
Travessa Ângelo Piazzetta
Rua Coronel Pedro Scherer Sobrinho
Rua Adão Sobocinski
Rua João Pontoni
Rua Rubens Santos Costa
Rua Governador Agamenon Magalhães - até 498/499
Rua Urbano Lopes
Rua João Dranka
Rua Major Antônio Gomes Ferreira
Avenida Nossa Senhora da Penha
Rua Guilherme Born
Rua Delegado Leopoldo Belczak - até 233/234
Rua Roberto Cichon - até 254/255
Jardinete Terezinha Schlivinski
Rua Zeila Moura dos Santos - até 569/570
Avenida Presidente Affonso Camargo, 2305
Rua Schiller, 555
Rua Sanito Rocha, 207
Rua XV de Novembro, 2765
Rua XV de Novembro - de 0896/897 a 1598/1599
Rua Marechal Deodoro - de 0767/768 a 1473/1474
Rua Benjamin Constant
Rua Comendador Macedo
Travessa Itararé
Rua Nilo Cairo
Avenida Visconde de Guarapuava - de 1496/1497 a 2179/2180
Avenida Sete de Setembro - de 1695/1696 a 2409/2410
Largo Baden Powell
Avenida Presidente Affonso Camargo - até 568/0569
Rua Ubaldino do Amaral - de 1476 ao fim - lado par
Rua Conselheiro Laurindo - até 1084/1085
Rua Tibagi
Rua Mariano Torres
Rua Francisco Torres
Rua Doutor Faivre
Rua General Carneiro
Rua da Paz
Rua Ubaldino do Amaral - de 942 a 1474 - lado par
Rua Saldanha da Gama
Rua Ubaldino do Amaral - de 432 a 940 - lado par
Praça do Expedicionário
Rua Ubaldino do Amaral - até 429/430
Rua Amintas de Barros - até 688/689
Largo Bittencourt
Rua Conselheiro Araújo
Rua Padre Camargo
Rua Vinte e Um de Abril - de 356/357 ao fim
Rua Floriano Essenfelder
Rua Itupava - até 475 - lado ímpar
Rua General Carneiro, 181
Rua Amintas de Barros, 330
Rua Conselheiro Araújo, 825
Rua Conselheiro Laurindo, 502
Rua Conselheiro Laurindo, 781
Rua XV de Novembro, 1206
Rua XV de Novembro, 1222
Rua XV de Novembro, 1517
Rua Itupava, 701
Avenida Visconde de Guarapuava, 1895
Rua Amintas de Barros, 627
Rua Conselheiro Laurindo, 1007
Avenida Prefeito Omar Sabbag
Avenida Dario Lopes dos Santos
Rua Engenheiro Leão Sounis
Rua Doutor João Skalski
Rua Engenheiros Rebouças - até 679/680
Rua Antônio Martins de Araújo
Rua Brasílio Itiberê - até 735/736
Rua Sant'Ana
Jardinete Constantino Stroppa
Rua João Batista Ribeiro
Rua Ernesto de Araújo
Rua Tufik José Guérios
Rua Paschoal Bordignon
Rua Said Fatuch
Rua José Ananias Mauad
Rua Eleonora Muricy Novaes
Rua Coração de Maria
Rua Professor Luiz Carlos Pereira da Silva
Rua Doutor Salvador de Maio
Jardinete Rutílio de Sá Ribas
Rua Maurício Nunes Garcia
Rua Padre Francisco João Azevedo
Avenida Prefeito Lothario Meissner
Praça Itália
Rua Doutor Jorge Meyer Filho
Jardinete Stella Surugi Leprevost
Rua Engenheiro Gottardo Bottarelli
Travessa Leocádio Pereira da Costa
Rua Coronel João da Silva Sampaio
Rua Dante Alighieri
Travessa Terézio Porto
Travessa Major Correia Lima
Rua Hildebrando de Araújo
Praça Jornalista Divonira Torres Kudri
Rua Brigadeiro Antônio de Sampaio
Rua Carlos Antônio de Azevedo
Rua Martin Varela
Rua São Januário
Travessa Ludovico Seyer
Rua Bento Azambuja
Rua São Joaquim
Travessa Martinho Diogo Teixeira
Rua Doutor Corrêa Coelho
Rua Professora Annette Macedo
Avenida Prefeito Maurício Fruet - até 626 - lado par
Praça Hayao Washida
Rua Lourenço José Tiepolo
Rua Engenheiro Ostoja Roguski
Rua Alberto Twardowski
Rua Pergentina Silva Soares
Rua Francisco Nunes - até 639/640
Rua Doutor Reynaldo Machado - até 634/635
Rua Iapó - até 629/630
Rua Imaculada Conceição - até 629/630
Rua Felipe Camarão - até 534/535
Praça Constantino Fanini
Rua Antônio Vieira Borges
Rua Embaixador Hipólito de Araújo - até 434/435
Vila Ferroviários
Avenida Comendador Franco - até 2129/2130
Rua Walter Marquadt
Rua Engenheiros Rebouças - de 681/682 a 1424/1425
Rua Sérgio Venci
Rua Pedro de Araújo Franco
Praça Plínio Tourinho
Rua Brasílio Itiberê - de 737/738 a 1484/1485
Rua Almirante Gonçalves - até 719/720
Rua Baltazar Carrasco dos Reis - até 1129/1130
Rua Chile - até 1450 - lado par
Largo Professor Guido Viaro
Rua Imaculada Conceição - de 631/632 ao fim
Rua Chile - até 1449 - lado ímpar
Rua Coronel Zacarias
Rua Felipe Camarão - de 536/537 ao fim
Rua Pastor Walter Kelm
Rua José Gabriel Gulgielmin
Rua Guabirotuba
Rua Francisco Nunes - de 641/642 ao fim
Rua Comendador Roseira
Rua Embaixador Hipólito de Araújo - de 436/437 ao fim
Rua Jóquei Clube
Rua Iapó - de 631/632 ao fim
Rua Cyro Vellozo
Rua Conselheiro Laurindo - de 2465/2466 ao fim
Rua Gustavo Ambrus
Rua Doutor Reynaldo Machado - de 636/637 ao fim
Rua Professora Regina Casagrande Marinoni
Rua Thomas Edison
Jardinete Professor Fernando Lacerda Carneiro
Avenida Senador Salgado Filho - até 659/0660
Rua Pedro de Toledo
Travessa Solieri
Rua Constantino Bordignon
Rua Aluízio Finzetto
Rua Orestes Camilli
Jardinete Engenheiro Augusto Grohs
Rua Antônio Grocoske
Rua Wilson Feijó
Rua Manoel Martins de Abreu - de 192/193 ao fim
Rua João Marchesini
Rua Aquelino Orestes Baglioli
Praça Mário Vendramel
Rua Josefina Zanier
Rua Antônio Cândido Ferreira
Viaduto Colorado
Rua Ângelo Ferro
Rua Pedro Costa Cunha
Rua Manoel Martins de Abreu - até 190/191
Rua Doutor Alberto Franco Ferreira da Costa
Rua Dorival Almir Zagonel
Rua Manoel Freire
Rua Osíris de Brito
Rua Anna Friebe
Rua Rui Ferraz de Carvalho
Rua Irineu Adami
Rua Sérgio Dudeck
Rua Arnoldo Ravanelo
Rua Arthur Otto Suckow
Rua Dinorá Cardoso de Lima
Rua Doutor Nelson Berno
Rua Eclídio Pedro Hecke
Rua Plácida Thomazi Zanoto
Rua Alcina Tacla Sabbag
Rua Edith Barcelos Schramm
Rua Manoel Severiano da Fonseca
Rua Mário Romagnolli
Rua Esperandio Domingos Foggiatto
Rua Plínio Barroso de Castro
Rua Maestro Idilio Donatti
Rua Rômulo Antônio Pellanda
Rua Engenheiros Rebouças, 1376
Rua Imaculada Conceição, 1155
Avenida Marechal Floriano Peixoto - de 2311/2312 a 3370/3371
Avenida Marechal Floriano Peixoto - de 3372/3373 a 4541/4542
Rua Doutor Carvalho Chaves
Rua João Batista Berno
Rua Desembargador Westphalen - de 1890/1891 a 2860/2861
Rua Desembargador Westphalen - de 2862/2863 ao fim
Rua Doutor Pamphilo d'Assumpção - até 965/966
Rua Doutor Pamphilo d'Assumpção - de 967/968 ao fim
Rua Alferes Poli - de 351/352 a 2014/2015
Rua Alferes Poli - de 2016/2017 ao fim
Rua Vinte e Quatro de Maio - de 351/352 a 2044/2045
Rua Vinte e Quatro de Maio - de 2046/2047 ao fim
Rua Nunes Machado - de 399/400 a 2060/2061
Rua Nunes Machado - de 2062/2063 ao fim
Rua Lamenha Lins - de 496/497 a 2289/2290
Rua Lamenha Lins - de 2291/2292 ao fim
Rua Gino Parolin
Rua Brigadeiro Franco - de 2405 a 4259 - lado ímpar
Travessa Livorno
Rua Leonor Caron Alves
Rua Doutor Ernesto Schwartz
Rua Padre Isaías de Andrade
Rua Brigadeiro Franco - de 4261/4262 ao fim
Rua Montese
Rua Gastão Poplade
Rua Capitão Caetano Munhoz
Rua Chile - de 1451/1452 a 1625/1626
Rua Chile - de 1627/1628 ao fim
Rua Conselheiro Dantas - até 454/455
Rua Conselheiro Dantas - de 456/457 a 1389/1390
Avenida Presidente Kennedy - até 770/771
Avenida Presidente Kennedy - de 772/773 a 1630/1631
Largo Júlio Szymanski
Rua João Zaniolo
Rua Piauí - até 1488/1489
Rua Toni Buso
Rua Ceará
Praça Alcinda Gomes Chagas
Rua João Viana Seiler
Rua Acácio Corrêa
Rua João Parolin
Rua Caetê
Rua Rio Vila Guaíra - de 871/872 ao fim
Rua Carlos Affonso Meissner Osorio
Rua Professor Rubens Elke Braga
Rua João Santana da Silva
Rua Chanceler Lauro Müller
Rua Miguel Matkoski
Rua Pedro Vicente de Matos
Rua Ermindo Luis Matkoski
Rua Eugênio Parolin
Rua Antônio Parolin Júnior
Rua Francisco Parolin
Rua Jaime Costa
Rua Leopoldo Froes
Rua Professor Porthos Velozo
Rua Professor Plácido e Silva
Rua Aloir Wanderley Portaneri Rios
Rua Professor Leônidas Ferreira da Costa
Rua Antonia Theresinha Dallagassa
Rua Professor José Farâni Mansur Guérios
Avenida da República - de 3975/3976 a 4979/4980
Rua Maria do Socorro Ramos de Oliveira
Rua Daisy Luci Berno - até 1130 - lado par
Rua Anselmo Camati
Rua Maria Moscardi Fanini
Rua João Fagundes Machado
Rua David de Souza Camargo
Rua Chile, 1122
Rua Chile, 2001
Rua João Parolin, 224
Rua Desembargador Westphalen, 2585 Loja 2
Rua Professor Plácido e Silva, 860
Avenida Silva Jardim - até 1194/1195
Avenida Sete de Setembro - de 2411 a 3999 - lado ímpar
Avenida Iguaçu - até 1029/1030
Avenida Presidente Getúlio Vargas - até 1144/1145
Rua Engenheiros Rebouças - de 1426/1427 a 2574/2575
Rua Brasílio Itiberê - de 1486/1487 a 2599/2600
Rua Almirante Gonçalves - de 721/722 a 2170/2171
Rua Baltazar Carrasco dos Reis - de 1131/1132 a 2174/2175
Rua Vinte e Quatro de Maio - até 349/350
Avenida Sete de Setembro - de 2412 a 3530 - lado par
Rua Alferes Poli - até 349/350
Rua Desembargador Westphalen - de 0721/722 a 1888/1889
Avenida Marechal Floriano Peixoto - de 931/932 a 2309/2310
Rua Santo Antônio
Rua Rockefeller
Rua Piquiri
Rua João Negrão - de 851/852 ao fim
Travessa Pinheiro
Praça do Radialista
Rua Conselheiro Laurindo - de 1086/1087 a 2463/2464
Rua Engenheiros Rebouças, 1707
Avenida Sete de Setembro, 3165
Avenida Iguaçu, 420
Avenida Sete de Setembro, 2775
Rua João Negrão, 1251
Rua João Negrão, 1251
Rua João Negrão, 1251 Bloco 01 Térreo Bloco 01
Rua João Negrão, 1251 3º Andar
Rua João Negrão, 1251
Rua João Negrão, 1251
Rua João Negrão, 1251 5º andar Bloco 1
Rua João Negrão, 1251 Piso Térreo Bloco 1
Rua João Negrão, 1251
Rua João Negrão, 1251
Rua João Negrão, 1251
Avenida Sete de Setembro - de 4551/4552 a 5460/5461
Avenida Sete de Setembro - de 5462/5463 ao fim
Avenida Visconde de Guarapuava - de 4381/4382 ao fim
Avenida Silva Jardim - de 1591/1592 a 3668/3669
Avenida Silva Jardim - de 3670/3671 ao fim
Avenida Iguaçu - de 1411/1412 a 2039/2040
Avenida Iguaçu - de 2041/2042 a 3469/3470
Avenida Presidente Getúlio Vargas - de 1503/1504 a 3579/3580
Avenida Presidente Getúlio Vargas - de 3581/3582 ao fim
Rua Petit Carneiro
Rua Brasílio Itiberê - de 3634/3635 ao fim
Avenida Água Verde - de 1675/1676 ao fim
Avenida Iguaçu - de 3471 ao fim - lado ímpar
Largo Luiz Cavichiolo II
Rua Tenente Max Wolf Filho
Travessa João Turin
Rua Bento Viana
Rua Silveira Peixoto
Rua Doutor Alexandre Gutierrez
Rua Saint Hilaire
Largo Doutor Acir Mulinari
Rua Padre Ildefonso
Travessa Lange
Praça do Japão
Travessa Percy Withers
Largo Professor Haroldo Trevisani Beltrão
Avenida República Argentina - até 824/825
Rua Bruno Filgueira - até 329/330
Jardinete Monsenhor Francisco Gorski
Rua Acyr Guimarães
Jardinete Celestina Bortoletto Cavallin
Rua Carneiro Lobo - até 899/900
Praça Maria Polenta
Rua Estêvão Bayão
Rua Carneiro Lobo - de 901/902 ao fim
Rua Castro Alves
Rua Cândido Xavier - até 869/870
Rua Herculano Carlos Franco de Souza
Rua Professor Octávio da Silveira
Rua Belo Horizonte
Rua Leôncio Correia
Rua Lindolfo Pessoa
Rua Gonçalves Dias
Jardinete Helene Ginvert Garfunkel
Rua Deputado Antônio Baby
Rua Visconde de Cairu
Travessa Ernesto Luiz de Oliveira
Rua Júlio Fleming
Rua Bernardo Leinig
Travessa Alberico Figueira
Avenida Iguaçu - de 3472 ao fim - lado par
Rua Dom Ático
Largo Aníbal Guimarães Carneiro
Rua Teixeira Soares
Praça da França
Rua Rodrigues Alves
Praça Alexandre Marchioro
Rua Estado de Israel
Rua Francisco Zandoná
Largo Augusto Ickert
Rua Coronel Hoche Pedra Pires
Rua Delphim Moreira
Rua Professor João Argemiro Loyola
Rua Coronel Enock de Lima
Rua Santa Madalena de Piazzi
Rua Deputado Joaquim Linhares de Lacerda
Rua Odin Ferreira do Amaral
Praça Giovanni Gervason
Jardinete Sérgio Verges
Jardinete Erasmo Piloto
Rua Arnaldo de Barros
Rua Norberto Antônio Calliari
Rua Marciano Dombeck
Praça Maria da Paixão Brandão Reis
Rua Ary Florêncio Guimarães
Avenida Água Verde, 1682
Avenida Presidente Getúlio Vargas, 3309 Loja 4
Rua Nunes Machado - até 397/398
Praça Ouvidor Pardinho
Rua Lamenha Lins - até 494/495
Rua Brigadeiro Franco - de 2051/2052 a 2403/2404
Rua Doutor Pedro Augusto Menna Barreto Monclaro
Rua Brigadeiro Franco - de 2406 a 4260 - lado par
Parque Afonso Botelho
Rua Desembargador Motta - até 1364/1365
Rua Buenos Aires
Rua Pasteur - até 339/340
Avenida Sete de Setembro - de 4042 a 4550 - lado par
Rua Madre Maria dos Anjos
Rua Coronel Dulcídio - de 1141/1142 ao fim
Rua Pasteur - de 341/342 ao fim
Rua Maurício Caillet
Rua Alferes Ângelo Sampaio - até 1098/1099
Rua Baltazar Carrasco dos Reis - de 2176/2177 ao fim
Rua Antônio Celli
Rua Almirante Gonçalves - de 2172/2173 ao fim
Rua Brasílio Itiberê - de 2601/2602 a 3632/3633
Rua Engenheiros Rebouças - de 2576/2577 ao fim
Avenida Presidente Getúlio Vargas - de 1146/1147 a 1501/1502
Avenida Iguaçu - de 1031/1032 a 1409/1410
Avenida Silva Jardim - de 1196/1197 a 1589/1590
Avenida Sete de Setembro - de 4001 a 5969 - lado ímpar
Avenida Sete de Setembro - de 3532 a 4040 - lado par
Avenida Visconde de Guarapuava - de 3337/3338 a 4379/4380
Praça Oswaldo Cruz
Avenida Silva Jardim, 1502
Avenida Visconde de Guarapuava, 4350
Rua Brigadeiro Franco, 2300
Rua Lamenha Lins, 1496
Rua Major França Gomes
Rua da Divina Providência
Travessa Guarujá
Rua Henrique José Sikorski
Travessa João Nociti
Rua Cidade de Franca
Rua Professor Laertes Munhoz
Rua Ricardo Carta
Rua José Naves da Cunha
Largo Luiz Perrone
Avenida Nossa Senhora Aparecida - de 631/632 ao fim
Rua Reinaldo Pazello
Rua Professor Ulisses Vieira - de 1216/1217 ao fim
Rua Professor Brazílio Ovídio da Costa - de 1101/1102 ao fim
Rua Bocaiúva
Jardinete Maria Lenira Gracia de Toledo Piza
Rua Irati - até 744/745
Rua Coronel Airton Plaisant - até 1354/1355
Rua Capiberibe - até 1219/1220
Rua Curupaitis - até 1724/1725
Praça Doutor Francisco Ribeiro Azevedo de Macedo
Rua Curupis - de 111/112 a 1504/1505
Rua Francisco Carvalho de Oliveira
Rua João Batista Collin
Rua Professor Fábio de Souza - até 1379/1380
Rua Antônio Hofmann
Rua Dom Orione - até 1234/1235
Rua Coronel Pretextato Pena Forte Taborda Ribas - até 1149/1150
Rua Pretextato Taborda Júnior - até 1024/1025
Rua Jayme Canet
Rua Dona Eleusina Plaisant
Rua João Maria Ribas
Rua João Scuissiato
Rua João Aguida
Rua Herbert Neal
Rua João Jaques
Rua João Gilberto Santos
Rua Manoel Diniz
Rua Paulino Leitoles
Rua Nelson dos Santos
Rua Guilherme Martini
